id,Project,Client.code,Project.type,Actual.duration,Actual.effort,Adjusted.function.points,First.estimate,First.estimate.method,Estimated.day
84,84,2,4.0,126.0,557.0,60.0,760.0,5,126
85,85,2,4.0,200.0,3050.0,303.52,2588.0,1,165
86,86,2,3.0,76.0,1113.0,98.9,1148.0,1,76
87,87,2,4.0,299.0,5456.0,711.9,4064.0,5,243
88,88,2,3.0,131.0,763.0,182.4,933.0,5,152
89,89,2,3.534090909090909,140.0,2203.0,351.9,2096.0,5,102
90,90,2,4.0,169.0,3483.0,401.98,3284.0,5,212
91,91,2,4.0,130.0,2393.0,162.61,4576.0,1,144
92,92,2,3.0,389.0,6180.75,1210.99,5895.125,5,263
93,93,2,3.0,166.0,2972.0,156.42,5895.125,5,236
94,94,2,4.0,148.0,4068.0,603.58,4046.0,5,142
95,95,2,4.0,131.0,698.0,73.92,649.0,5,145
96,96,2,4.0,144.0,676.0,121.55,817.0,5,178
97,97,2,3.534090909090909,369.0,6180.75,1234.2,5895.125,5,300
98,98,2,4.0,155.0,219.0,35.0,300.0,5,116
99,99,2,3.534090909090909,102.0,254.0,61.06,315.0,5,112
100,100,2,4.0,149.0,324.0,162.0,750.0,5,180
101,101,2,4.0,446.125,874.0,1285.7,898.0,5,365
102,102,2,3.0,446.125,6180.75,1336.2737500000003,5895.125,5,841
103,103,2,3.0,186.0,1722.0,1020.6,1600.0,5,186
104,104,2,3.0,212.0,1660.0,377.0,1702.0,5,212
105,105,2,4.0,84.0,693.0,210.45,592.0,5,84
106,106,2,3.0,250.0,1455.0,410.0,2158.0,5,256
107,107,2,3.0,86.0,988.0,279.0,994.0,5,86
108,108,2,3.0,102.0,1940.0,240.0,1875.0,5,113
109,109,2,4.0,137.0,2408.0,230.0,2527.0,5,137
110,110,2,3.0,87.0,1737.0,150.29,2606.0,5,118
111,111,2,3.0,291.0,6180.75,1336.2737500000003,5895.125,5,291
112,112,2,3.0,392.0,4414.0,401.0,4176.0,5,392
113,113,2,3.0,165.0,2480.0,267.0,2240.0,5,165
114,114,2,3.0,88.0,980.0,102.0,980.0,5,98
115,115,2,3.0,249.0,3189.0,403.0,3720.0,5,249
116,116,2,3.0,186.0,2895.0,857.0,2914.0,5,186
117,117,2,3.0,63.0,322.0,69.0,360.0,5,63
118,118,2,1.5,192.0,3555.0,980.95,3700.0,5,238
119,119,2,4.0,123.0,570.0,100.8,200.0,5,123
120,120,2,4.0,123.0,464.0,105.28,578.0,5,136
122,122,2,3.0,119.0,896.0,219.88,780.0,1,73
123,123,2,4.0,195.0,6180.75,1292.56,5895.125,5,174
124,124,2,4.0,210.0,3966.0,616.08,3748.0,5,203
125,125,2,3.0,180.0,989.0,103.4,710.0,5,180
126,126,2,4.0,238.0,585.0,74.4,856.0,5,266
127,127,2,4.0,144.0,1860.0,356.31,2436.0,5,76
128,128,2,4.0,432.0,5249.0,862.0,4101.0,5,350
129,129,2,4.0,392.0,5192.0,791.84,5231.0,5,220
130,130,2,3.0,205.0,1832.0,661.27,2853.0,1,111
131,131,2,3.0,49.0,928.0,179.0,1246.0,5,49
132,132,2,4.0,205.0,2570.0,518.4,2570.0,5,219
133,133,2,3.0,145.0,1328.0,370.0,1328.0,5,364
134,134,2,3.0,172.0,2964.0,839.05,3380.0,5,201
135,135,2,4.0,137.0,1304.0,243.86,1522.0,5,137
136,136,2,3.0,371.0,1631.0,557.28,2264.0,5,276
137,137,2,2.0,217.0,955.0,485.94,2790.0,5,231
138,138,2,3.0,308.0,286.0,698.54,1312.0,5,322
139,139,2,3.0,217.0,1432.0,752.64,2210.0,1,286
140,140,2,3.0,40.0,321.0,809.25,337.0,5,50
141,141,2,4.0,253.0,593.0,178.1,865.0,5,-108
142,142,2,4.0,405.0,302.0,81.48,441.0,5,405
143,143,2,4.0,241.0,2634.0,1093.86,2731.0,5,241
144,144,2,3.534090909090909,156.0,1040.0,1002.76,1039.0,5,125
145,145,2,3.0,92.0,887.0,551.88,1393.0,1,104
